URL,_id/$oid,address,address line 2,name,outcode,postcode,rating,type_of_food
http://www.just-eat.co.uk/restaurants-bigchicken-b11/menu,55f14313c7447c3da7052473,373 Stratford Road,Birmingham,Big Chicken,B11,4JZ,5.5,Chicken
http://www.just-eat.co.uk/restaurants-bigchina-fy4/menu,55f14313c7447c3da7052474,374-376 Vicarage Lane,Lancashire,Big China,FY4,4LP,5.5,Chinese
http://www.just-eat.co.uk/restaurants-big-daddy-house-houghton-green/menu,55f14313c7447c3da7052475,2 Norris Street,Cheshire,Big Daddy House,WA2,7RL,Not yet rated,Breakfast
http://www.just-eat.co.uk/restaurants-bigetakeaway-ct9/menu,55f14313c7447c3da7052476,173 Northdown Road,Margate,Big E Takeaway & Diner,CT9,2PA,5.5,Kebab
http://www.just-eat.co.uk/restaurants-bigfatgourmet-sw8/menu,55f14313c7447c3da7052477,585 Wandsworth Road,London,Big Fat Gourmet,SW8,3JD,5,Burgers
http://www.just-eat.co.uk/restaurants-bigfatgourmet-sw8/menu,55f14313c7447c3da7052478,585 Wandsworth Road,London,Big Fat Gourmet,SW8,3JD,5,Burgers
http://www.just-eat.co.uk/restaurants-bigfatgourmet-sw8/menu,55f14313c7447c3da7052479,585 Wandsworth Road,London,Big Fat Gourmet,SW8,3JD,5,Burgers
http://www.just-eat.co.uk/restaurants-bigfellaspizzeria-hd1/menu,55f14313c7447c3da705247a,147 St Johns Road,Huddersfield,Big Fellas Pizzeria,HD1,5EY,4.5,Pizza
http://www.just-eat.co.uk/restaurants-bigfish-cf3/menu,55f14313c7447c3da705247b,100 Wentloog Road,Rumney,Big Fish,CF3,3EA,5.5,Fish & Chips
http://www.just-eat.co.uk/restaurants-bigfish-tn37/menu,55f14313c7447c3da705247c,387 London Road,Hastings,Big Fish - Collection Only,TN37,6PA,6,Fish & Chips
http://www.just-eat.co.uk/restaurants-biggsdiner-wf16/menu,55f14313c7447c3da705247d,7 High Street,Heckmondwike,Big G's Diner,WF16,0JA,5,American
http://www.just-eat.co.uk/restaurants-biggsdiner-wf16/menu,55f14313c7447c3da705247e,7 High Street,Heckmondwike,Big G's Diner,WF16,0JA,5,American
http://www.just-eat.co.uk/restaurants-big-joes-milton-keynes/menu,55f14313c7447c3da705247f,61 Alsten Drive,Milton Keynes,Big Joe's,MK13,9HB,5.5,Pizza
